id,name,artist,popularity,duration_ms,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1UAhEIfzcm8hp9TXdbMCtz,b'NSFW (Not Safe For Weak Rappers)',b'Sa-Roc',18,226956,2016,0.653,0.594,1,-6.945,1,0.466,0.0471,1.35e-05,0.41,0.382,183.971
2ybbKsBCWsq0f9dgbIIxon,b'Legendary',b'Sa-Roc',4,186734,2014,0.654,0.946,2,-3.148,1,0.285,0.0495,0,0.227,0.57,98.541
39ZiU2QVBvDQzeepJjg8tp,b'Blinded in Chains',b'Avenged Sevenfold',62,394466,2005,0.245,0.961,2,-4.223,0,0.0852,9.79e-05,0.00433,0.164,0.574,96.0
3NZzsmrtxfJd8nJBImXhRr,b'The Moors of Alhambra',b'Sa-Roc',11,149138,2013,0.591,0.807,4,-5.695,0,0.384,0.0623,0,0.593,0.457,87.455
0QTGhJ1LKgSj2PQLslXLzg,"b""Lilith's Psalm""",b'Sa-Roc',21,187428,2015,0.942,0.575,2,-10.119,1,0.2,0.0309,0,0.11,0.816,105.005
2BzQBXEmNFP6YTLgr1mRd2,b'MetaMorpheus',b'Sa-Roc',10,222469,2016,0.591,0.615,1,-6.294,1,0.479,0.0048,0,0.279,0.416,165.815
2TA0vUqYBjLuUIcgZzYL2v,b'WWII (Word War II)',b'Sa-Roc',16,128780,2016,0.763,0.825,1,-6.061,1,0.441,0.0149,0,0.437,0.235,81.993
5oqSr3rehtGgZyDh0LCSA7,b'Gotta Get Mine',b'MC Breed',53,264760,1993,0.855,0.52,7,-12.07,1,0.268,0.184,0,0.114,0.402,92.451
1HSGn0KVpyv9H6l2KRwmAI,b'Battle Hymn',b'Vinnie Paz',42,387240,2012,0.551,0.899,11,-5.219,0,0.217,0.0031,0,0.369,0.642,87.457
01Xbm079iYopmVs8ZMqYGR,b'Pay Your Dues',b'Apathy',26,218826,2016,0.658,0.819,3,-7.692,1,0.297,0.129,0,0.123,0.402,89.986
4gps46WZXlN1Z9EbdU4VQJ,b'Kindness For Weakness',b'Dilated Peoples',38,249280,2006,0.605,0.914,1,-1.518,1,0.377,0.273,0,0.0569,0.25,190.11
1d1fZUceM2zK6HETEYtzxJ,b'Blood Runs Cold',b'Jedi Mind Tricks',44,235226,2000,0.725,0.704,1,-6.688,1,0.34,0.131,9.65e-05,0.398,0.81,95.054
4V1sXrFbpRp7aIDPCy08MO,b'Equality',b'Afu-Ra',43,277320,2000,0.634,0.908,7,-2.654,1,0.303,0.168,0,0.101,0.701,88.875
3QXackOVhioop7C1VaaSp7,b'Nothing but Strangeness (feat. Looptroop Rockers & Hilltop Hoods)',b'Cunninlynguists',39,198120,2009,0.841,0.597,7,-9.086,1,0.277,0.0934,0,0.113,0.707,92.031
7x2zy4YgLY731TKaDFFeuj,b'When It Rains (feat. Aloe Blacc)',b'Dag Savage',48,176605,2014,0.68,0.51,7,-9.126,1,0.281,0.155,0,0.691,0.698,90.055
4Nrg8EG7wWTiTOumtpw8gk,b'Let The Drummer Kick',b'Citizen Cope',59,257093,2002,0.766,0.641,9,-3.777,0,0.0445,0.0165,0.0386,0.0809,0.579,85.011
5Wpy3gCoY3tQJxAaXWDWy7,b'Late For The Sky (feat. Slug & Aesop Rock)',b'Evidence',32,337560,2011,0.362,0.862,1,-3.295,1,0.35,0.0361,0,0.855,0.659,76.206
63BokRfXSQhEU6Qi2dSJpZ,b'Mind Playing Tricks on Me',b'Geto Boys',68,308733,1991,0.886,0.512,10,-11.825,0,0.237,0.207,0,0.0991,0.454,93.997
0fQ4aYENEakPclOlAyFtAX,b'Oh My',b'Sweatshop Union',39,235613,2008,0.873,0.482,6,-6.252,1,0.121,0.681,0.000434,0.0921,0.711,93.204
6bO0RKtbyVtaKcNwvX8VUt,b'Definition Of A Rap Flow (Albee 3000)',b'R.A. The Rugged Man',47,209280,2013,0.919,0.841,9,-3.509,1,0.325,0.335,0,0.0749,0.795,110.951
2yfK4aneEYgrXSEUWhrVYQ,b'Suicide',b'Jedi Mind Tricks',34,232840,2006,0.683,0.872,1,-5.476,1,0.187,0.00374,0.000199,0.145,0.465,93.946
3qDpYCA6FoVvODVaZWScXO,b'Point Of No Return',b'Immortal Technique',56,241826,2003,0.624,0.836,7,-6.995,0,0.383,0.277,0,0.294,0.501,86.971
0fzo46p4NjXy6DGWmgdAtX,b'Guide You Through Shadows (feat. Ra Scion & Substantial)',b'Cunninlynguists',23,275454,2014,0.611,0.783,1,-6.455,0,0.0615,0.262,7.44e-06,0.269,0.278,88.016
3kPWpLBQDkzpKKbwOcjn1e,b'Fraudulent Cloth',b'Jedi Mind Tricks',44,251307,2015,0.345,0.907,8,-2.985,0,0.107,0.305,0,0.377,0.329,182.788
3jmHcu9v3FFRgtztbEejgk,b'Children Sing',b'PaceWon & Mr. Green',39,306893,2008,0.39,0.89,1,-6.145,1,0.203,0.0479,0,0.226,0.558,83.052
32cQeY533XTAc4L6fzcIgG,b'Enemies With Benefits F. Tonedeff',b'Cunninlynguists',31,277205,2011,0.356,0.718,1,-7.739,0,0.135,0.0631,2.85e-05,0.346,0.144,99.561
6o7Ox5vC4eGaO3WBv77NQc,b'Freedom Of Speech',b'Immortal Technique',40,187000,2003,0.899,0.656,10,-6.633,0,0.193,0.155,0,0.061,0.959,96.355
2CpP9fn0s3EQN4ErGEF7UX,b'Beyond the Sun (feat. J Live)',b'Cunninlynguists',39,161193,2014,0.687,0.582,6,-7.334,0,0.178,0.32,2.95e-05,0.0997,0.514,90.048
0lD1Olt2y5u9d5zUUERxRC,b'Pour Me Another',b'Atmosphere',42,289746,2005,0.373,0.913,9,-5.052,0,0.413,0.0045,0.577,0.133,0.422,173.583
2ulWTEGFSGdV85pweEluAS,b'Razorblade Salvation',b'Jedi Mind Tricks',44,261093,2006,0.735,0.886,7,-4.31,1,0.131,0.00285,0.848,0.142,0.498,92.382
6qfna7A7WvUwyNoqVwbhnc,"b""Love Ain't (f. Tonedeff) [Deluxe Edition]""",b'Cunninlynguists',30,241533,2010,0.669,0.768,7,-7.101,1,0.325,0.648,0.00361,0.671,0.556,93.948
1f58xau99Rdn0hhcJTwRhz,b'Uncommon Valor: A Vietnam Story',b'Jedi Mind Tricks',50,242200,2006,0.764,0.877,2,-7.009,1,0.329,0.133,0.0435,0.298,0.65,93.211
7eDrxsh5PQnsqiVNZxN9Z6,b'2020',b'Sol',39,224400,2012,0.761,0.668,4,-7.081,1,0.273,0.285,1.85e-06,0.122,0.455,83.047
141ZBfcyIaGpr6Ub2sQ51w,b'Melancholy Hopeful',b'Marcus D',22,250266,2012,0.662,0.704,9,-7.211,0,0.0863,0.0787,0,0.141,0.24,95.93
6KsqFiw7IDFQM7QHBORGlN,b'Stars Shine Brightest (In The Darkest Of Night) F. Rick Warren',b'Cunninlynguists',33,242484,2011,0.454,0.856,10,-5.853,0,0.103,0.0225,0.000283,0.189,0.629,175.988
0dcMqjeDpwqB2xhzMsld0p,b'El Ma\xc3\xb1ana',b'Gorillaz',65,235360,2005,0.644,0.728,9,-8.396,0,0.029,0.000988,0.0279,0.473,0.607,132.488
57Xjny5yNzAcsxnusKmAfA,b'Reptilia',b'The Strokes',79,219826,2003,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009
2bfGNzdiRa1jXZRdfssSzR,b'Dirty Harry',b'Gorillaz',73,230426,2005,0.625,0.877,10,-7.176,0,0.162,0.0315,0.0811,0.672,0.865,192.296
3oQqC98i1EhNRcXqIMoWQD,b'Soul Of Freedom feat. Cise Starr',b'Uyama Hiroto',44,302333,2014,0.641,0.873,8,-5.527,0,0.0759,0.608,0.696,0.144,0.69,93.977
2QqAVlaV6Y45ebsXxfS5i8,b'Take Time',b'Awon',35,267906,2014,0.674,0.625,9,-8.7,1,0.0942,0.493,2.88e-06,0.16,0.603,171.992
